Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
REG,"Regency Centers Corp",58.26,Finance,"REIT - Equity Trust Retail","16:00 ET",+18.98%,-22.23%,1.08,9755688000,1166160000,361410000,2.62,4.37%,-7.72
CEG,"Constellation Energy Corp",58.2,Oils-Energy,"Other Alt Energy","16:00 ET",N/A,N/A,N/A,17785494000,19649000000,-205000000,0.32,1.02%,N/A
TJX,"TJX Companies",57.63,Retail-Wholesale,"Retail - Discount","16:03 ET",+167.09%,-24.01%,0.88,67169896000,48549980000,3282820000,3.09,2.06%,-7.71
DOW,"Dow Inc",57.41,"Basic Materials","Chemical - Diversified","16:00 ET",N/A,+1.59%,1.3,42637656000,54968000000,6311000000,9.96,4.77%,-9.6
FTV,"Fortive Corp",56.62,"Computers and Technology","Electronic Test Equipment","15:59 ET",N/A,-25.52%,1.1,20098178000,5254700000,608400000,2.81,0.49%,-14.7
AOS,"Smith A.O. Corp",56.04,"Industrial Products","Machinery - Electrical","16:00 ET",+355.23%,-34.48%,1.15,8680229000,3538900000,487100000,3.19,2.00%,-13.01
LNT,"Alliant Energy Corp",55.74,Utilities,"Utility - Electric Power","16:00 ET",+144.06%,-9.22%,0.45,13947155000,3669000000,674000000,2.71,2.98%,-2.95
CTVA,"Corteva Inc",55.53,"Consumer Staples","Agriculture Operations","16:03 ET",N/A,+17.91%,0.64,40809444000,15655000000,1759000000,2.31,1.00%,11.44
BRO,"Brown & Brown",54.94,Finance,"Insurance - Brokers","16:00 ET",+300.88%,-21.50%,0.81,15429042000,3051400000,587100000,2.27,0.75%,2.23
AFL,"Aflac Inc",54.23,Finance,"Insurance - Accident & Health","16:00 ET",+152.22%,-6.99%,0.96,34598100000,22106000000,4325000000,5.82,2.98%,-1.09
DRE,"Duke Realty Corp",53.68,Finance,"REIT - Equity Trust Other","16:00 ET",+249.73%,-17.96%,0.74,19684096000,1105920000,852900000,2.76,2.23%,4.95
MOS,"Mosaic Company",53.6,"Basic Materials",Fertilizers,"15:59 ET",-3.71%,+36.70%,1.57,19087892000,12357400000,1630600000,6.88,1.17%,20.65
ZION,"Zions Bancorp",53.12,Finance,"Banks - West","16:00 ET",+166.84%,-15.60%,1.29,7843423000,2970000000,1129000000,6.14,2.98%,-1.21
AIG,"American International Group",52.05,Finance,"Insurance - Multi Line","16:00 ET",+62.11%,-8.20%,1.24,41209832000,52057000000,9388000000,5.37,2.48%,0.67
TAP,"Molson Coors Brewing Company",51.82,"Consumer Staples","Beverages - Alcohol","16:03 ET",+23.43%,+12.17%,0.85,11139779000,10279700000,1005700000,4.43,3.00%,-6.15
CAH,"Cardinal Health",51.04,Medical,"Medical - Dental Suppliers","16:00 ET",+21.69%,-0.62%,0.82,13923744000,162467000000,611000000,4.78,3.81%,-7.1
MAS,"Masco Corp",50.95,Construction,"Building & Construction - Misc","16:03 ET",+269.21%,-27.29%,1.23,12082488000,8375000000,410000000,3.75,2.14%,-8.39
KR,"Kroger Company",50.88,Retail-Wholesale,"Retail - Supermarket","16:00 ET",+334.58%,+12.70%,0.49,36328064000,137888000000,1655000000,3.68,1.67%,13.14
VTR,"Ventas Inc",50.23,Finance,"REIT - Equity Trust Other","15:59 ET",-23.27%,-1.49%,1.16,19357278000,3828010000,49010000,0.39,3.66%,-8.08
WDC,"Western Digital Cp",49.95,"Computers and Technology","Computer - Storage Devices","16:00 ET",+61.55%,-22.92%,1.41,15420392000,16922000000,821000000,7.62,0.00%,-24.65
JCI,"Johnson Controls Intl",49.86,"Industrial Products","Protection - Safety","16:00 ET",+87.70%,-38.64%,1.15,34505184000,23668000000,1637000000,2.88,2.79%,-17.41
FAST,"Fastenal Company",49.61,Retail-Wholesale,"Building Prds Retail - Wsale","16:00 ET",+143.76%,-22.03%,1.29,28279524000,6010900000,925000000,1.71,2.48%,-1.61
VZ,"Verizon Communications Inc",49.15,Utilities,"Wireless National","16:00 ET",+10.62%,-5.09%,0.41,206454496000,133613000000,22065000000,5.44,5.16%,-7.98
LNC,"Lincoln National Corp",49.09,Finance,"Insurance - Life","16:00 ET",+120.94%,-27.82%,1.91,8308480000,19230000000,1405000000,8.01,3.77%,-17.54
LKQ,"LKQ Corp",48.75,Auto-Tires-Trucks,"Auto - Truck Replacement Parts","16:00 ET",+190.80%,-18.54%,1.45,13723058000,13088500000,1090870000,4.02,2.09%,-0.05
PFE,"Pfizer Inc",48.51,Medical,"Large Cap Pharma","16:03 ET",+108.35%,-17.60%,0.76,268874112000,81288000000,21980000000,5.11,3.34%,9.07
